filename,width,height,class,xmin,ymin,xmax,ymax,image_id
Apple 117.jpg,259,194,Apple,35,21,217,173,1028
Apple 12.jpg,2223,2223,Apple,243,53,1981,2215,1029
Apple 120.jpg,275,183,Apple,188,47,254,116,1030
Apple 122.jpg,231,280,Apple,28,41,203,230,1031
Apple 123.jpg,239,211,Apple,92,18,224,177,1032
Apple 124.jpg,240,280,Apple,29,38,216,225,1033
Apple 126.jpg,335,280,Apple,50,43,221,214,1034
Apple 126.jpg,335,280,Apple,158,138,298,233,1034
Apple 13.jpg,216,233,Apple,24,30,194,189,1035
Apple 14.jpg,265,190,Apple,120,28,249,165,1036
Apple 15.jpg,221,228,Apple,19,5,206,215,1037
Apple 16.jpg,225,225,Apple,16,49,204,199,1038
Apple 17.jpg,216,233,Apple,35,33,188,197,1039
Apple 19.jpg,225,225,Apple,23,37,186,200,1040
Apple 20.jpg,225,225,Apple,16,16,213,206,1041
Apple 21.jpg,219,230,Apple,33,46,185,200,1042
Apple 22.jpg,260,194,Apple,21,15,241,185,1043
Apple 23.jpg,299,168,Apple,2,10,299,168,1044
Apple 24.jpg,220,229,Apple,20,106,102,205,1045
Apple 25.jpg,275,183,Apple,3,14,268,178,1046
Apple 26.jpg,201,251,Apple,2,52,195,235,1047
Apple 27.jpg,220,229,Apple,20,3,204,207,1048
Apple 29.jpg,225,225,Apple,13,30,219,187,1049
Apple 30.jpg,312,162,Apple,5,7,308,160,1050
Apple 31.jpg,233,217,Apple,9,19,221,179,1051
Apple 32.jpg,235,214,Apple,9,19,230,205,1052
Apple 33.jpg,233,216,Apple,29,30,206,204,1053
Apple 34.jpg,299,168,Apple,49,5,256,158,1054
Apple 35.jpg,262,192,Apple,36,9,181,171,1055
Apple 36.jpg,275,183,Apple,143,54,254,179,1056
Apple 37.jpg,212,238,Apple,44,21,204,180,1057
Apple 38.jpg,259,194,Apple,25,7,253,187,1058
Apple 39.jpg,225,225,Apple,65,61,225,149,1059
Apple 4.jpg,1080,608,Apple,419,14,635,226,1060
Apple 4.jpg,1080,608,Apple,690,132,866,310,1060
Apple 4.jpg,1080,608,Apple,506,205,714,411,1060
Apple 4.jpg,1080,608,Apple,203,203,428,404,1060
Apple 4.jpg,1080,608,Apple,144,442,340,608,1060
Apple 4.jpg,1080,608,Apple,317,458,582,608,1060
Apple 40.jpg,190,266,Apple,64,176,124,235,1061
Apple 41.jpg,275,183,Apple,4,15,188,182,1062
Apple 42.jpg,225,225,Apple,82,151,144,220,1063
Apple 44.jpg,225,225,Apple,31,38,217,173,1064
Apple 45.jpg,275,183,Apple,179,28,275,135,1065
Apple 47.jpg,225,225,Apple,35,70,207,180,1066
Apple 49.jpg,300,168,Apple,69,13,300,168,1067
Apple 5.jpg,1200,800,Apple,22,84,429,553,1068
Apple 5.jpg,1200,800,Apple,372,247,800,726,1068
Apple 5.jpg,1200,800,Apple,772,133,1200,579,1068
Apple 50.jpg,225,225,Apple,48,27,214,186,1069
Apple 51.jpg,275,183,Apple,45,16,254,166,1070
Apple 52.jpg,225,225,Apple,34,34,184,197,1071
Apple 53.jpg,259,194,Apple,5,16,259,176,1072
Apple 54.jpg,225,225,Apple,17,18,203,208,1073
Apple 54.jpg,225,225,Apple,15,26,116,123,1073
Apple 55.jpg,259,194,Apple,21,69,114,177,1074
Apple 56.jpg,183,275,Apple,56,162,96,200,1075
Apple 58.jpg,284,177,Apple,60,12,284,177,1076
Apple 59.jpg,100,100,Apple,9,27,92,100,1077
Apple 6.jpg,275,183,Apple,103,37,162,79,1078
Apple 60.jpg,251,201,Apple,48,18,211,175,1079
Apple 61.jpg,260,194,Apple,54,19,199,185,1080
Apple 62.jpg,208,242,Apple,1,28,200,231,1081
Apple 63.jpg,268,188,Apple,96,52,201,157,1082
Apple 64.jpg,183,275,Apple,61,117,125,193,1083
Apple 65.jpg,225,225,Apple,3,46,145,196,1084
Apple 65.jpg,225,225,Apple,122,26,223,140,1084
Apple 66.jpg,259,195,Apple,13,26,152,163,1085
Apple 66.jpg,259,195,Apple,133,25,232,146,1085
Apple 67.jpg,2048,1365,Apple,133,52,1793,1365,1086
Apple 68.jpg,214,236,Apple,12,14,208,227,1087
Apple 69.jpg,275,183,Apple,46,49,159,158,1088
Apple 69.jpg,275,183,Apple,142,47,234,162,1088
Apple 7.jpg,2560,1600,Apple,963,249,1481,815,1089
Apple 7.jpg,2560,1600,Apple,1344,641,1950,1123,1089
Apple 7.jpg,2560,1600,Apple,794,794,1379,1170,1089
Apple 7.jpg,2560,1600,Apple,1629,420,2176,1025,1089
Apple 70.jpg,183,275,Apple,38,9,115,84,1090
Apple 70.jpg,183,275,Apple,110,55,180,130,1090
Apple 70.jpg,183,275,Apple,3,91,73,167,1090
Apple 71.jpg,100,100,Apple,9,9,90,91,1091
Apple 72.jpg,225,225,Apple,25,5,202,208,1092
Apple 73.jpg,225,225,Apple,13,37,218,198,1093
Apple 74.jpg,226,223,Apple,30,29,191,193,1094
Apple 75.jpg,284,177,Apple,107,28,167,90,1095
Apple 77.jpg,225,225,Apple,15,7,202,219,1096
Apple 78.jpg,273,184,Apple,81,35,190,141,1097
Apple 79.jpg,246,205,Apple,37,26,164,163,1098
Apple 8.jpg,1024,768,Apple,229,36,911,730,1099
Apple 80.jpg,224,225,Apple,33,16,194,188,1100
Apple 81.jpg,266,190,Apple,28,54,131,160,1101
Apple 81.jpg,266,190,Apple,134,54,244,163,1101
Apple 82.jpg,218,231,Apple,21,21,186,217,1102
Apple 83.jpg,299,168,Apple,119,3,172,64,1103
Apple 83.jpg,299,168,Apple,56,53,109,111,1103
Apple 83.jpg,299,168,Apple,190,38,237,86,1103
Apple 83.jpg,299,168,Apple,141,54,193,117,1103
Apple 84.jpg,275,183,Apple,40,11,268,171,1104
Apple 85.jpg,259,194,Apple,142,45,203,105,1105
Apple 85.jpg,259,194,Apple,85,1,157,53,1105
Apple 85.jpg,259,194,Apple,183,3,249,62,1105
Apple 85.jpg,259,194,Apple,76,52,141,106,1105
Apple 85.jpg,259,194,Apple,144,103,210,146,1105
Apple 86.jpg,287,176,Apple,8,10,141,171,1106
Apple 86.jpg,287,176,Apple,149,25,276,176,1106
Apple 87.jpg,291,173,Apple,21,37,97,120,1107
Apple 9.jpg,275,183,Apple,72,38,187,152,1108
Apple 91.jpg,272,185,Apple,14,20,128,142,1109
Apple 91.jpg,272,185,Apple,113,23,245,159,1109
Apple 94.jpg,299,168,Apple,62,18,141,102,1110
Apple 94.jpg,299,168,Apple,101,43,200,150,1110
Apple 94.jpg,299,168,Apple,148,12,233,100,1110
Apple 95.jpg,225,225,Apple,17,20,203,206,1111
Apple 96.jpg,240,210,Apple,22,19,215,202,1112
Apple 97.jpg,300,168,Apple,1,5,63,63,1113
Apple 97.jpg,300,168,Apple,78,47,140,111,1113
Apple 97.jpg,300,168,Apple,157,94,227,154,1113
Apple 97.jpg,300,168,Apple,159,11,224,77,1113
Apple 97.jpg,300,168,Apple,241,46,300,116,1113
Apple 97.jpg,300,168,Apple,14,102,73,165,1113
Apple 97.jpg,300,168,Apple,235,121,292,168,1113
Apple Cider 11.jpg,225,225,Apple Cider,114,43,204,103,1114
Apple Cider 11.jpg,225,225,Apple Cider,4,51,99,100,1114
Apple Cider 12.jpg,318,159,Apple Cider,80,9,175,159,1115
Apple Cider 13.jpg,183,275,Apple Cider,36,85,133,210,1116
Apple Cider 15.jpg,275,183,Apple Cider,117,13,207,177,1117
Apple Cider 16.jpg,225,225,Apple Cider,53,7,176,225,1118
Apple Cider 18.jpg,183,275,Apple Cider,33,81,168,241,1119
Apple Cider 2.jpg,232,217,Apple Cider,15,36,215,210,1120
Apple Cider 20.jpg,225,225,Apple Cider,9,112,106,201,1121
Apple Cider 21.jpg,259,194,Apple Cider,82,20,147,159,1122
Apple Cider 22.jpg,194,260,Apple Cider,28,50,181,253,1123
Apple Cider 23.jpg,275,183,Apple Cider,42,15,206,183,1124
Apple Cider 24.jpg,225,225,Apple Cider,82,49,212,193,1125
Apple Cider 25.jpg,189,267,Apple Cider,41,90,165,231,1126
Apple Cider 27.jpg,225,225,Apple Cider,51,21,171,212,1127
Apple Cider 28.jpg,225,225,Apple Cider,69,1,166,223,1128
Apple Cider 29.jpg,198,255,Apple Cider,84,48,188,203,1129
Apple Cider 29.jpg,198,255,Apple Cider,21,6,114,138,1129
Apple Cider 3.jpg,230,219,Apple Cider,53,28,193,201,1130
Apple Cider 30.jpg,320,157,Apple Cider,34,44,231,151,1131
Apple Cider 31.jpg,225,225,Apple Cider,56,38,180,210,1132
Apple Cider 32.jpg,185,273,Apple Cider,58,42,122,101,1133
Apple Cider 33.jpg,159,316,Apple Cider,36,7,124,312,1134
Apple Cider 34.jpg,259,194,Apple Cider,87,12,175,192,1135
Apple Cider 36.jpg,194,259,Apple Cider,34,94,144,247,1136
Apple Cider 37.jpg,183,275,Apple Cider,53,89,139,234,1137
Apple Cider 38.jpg,225,225,Apple Cider,59,29,151,193,1138
Apple Cider 4.jpg,159,316,Apple Cider,33,3,132,288,1139
Apple Cider 40.jpg,251,201,Apple Cider,34,17,131,185,1140
Apple Cider 41.jpg,206,245,Apple Cider,31,56,153,169,1141
Apple Cider 42.jpg,201,251,Apple Cider,46,31,154,127,1142
Apple Cider 43.jpg,225,225,Apple Cider,69,8,168,225,1143
Apple Cider 44.jpg,201,251,Apple Cider,34,58,174,218,1144
Apple Cider 45.jpg,183,275,Apple Cider,27,58,160,229,1145
Apple Cider 46.jpg,225,225,Apple Cider,39,28,183,205,1146
Apple Cider 47.jpg,275,183,Apple Cider,86,45,199,159,1147
Apple Cider 48.jpg,225,225,Apple Cider,39,25,186,207,1148
Apple Cider 49.jpg,225,225,Apple Cider,61,16,188,211,1149
Apple Cider 5.jpg,183,275,Apple Cider,36,64,167,206,1150
Apple Cider 52.jpg,275,183,Apple Cider,94,61,179,158,1151
Apple Cider 52.jpg,275,183,Apple Cider,162,8,255,99,1151
Apple Cider 53.jpg,183,275,Apple Cider,56,96,139,197,1152
Apple Cider 55.jpg,183,275,Apple Cider,6,35,86,243,1153
Apple Cider 56.jpg,275,183,Apple Cider,138,33,248,164,1154
Apple Cider 56.jpg,275,183,Apple Cider,24,11,116,57,1154
Apple Cider 58.jpg,225,225,Apple Cider,16,35,168,166,1155
Apple Cider 59.jpg,183,275,Apple Cider,11,43,146,223,1156
Apple Cider 6.jpg,277,182,Apple Cider,137,46,256,167,1157
Apple Cider 60.jpg,273,185,Apple Cider,75,20,215,182,1158
Apple Cider 62.jpg,183,275,Apple Cider,5,31,183,229,1159
Apple Cider 63.jpg,183,275,Apple Cider,34,85,162,256,1160
Apple Cider 64.jpg,225,225,Apple Cider,49,32,187,207,1161
Apple Cider 65.jpg,225,225,Apple Cider,28,17,199,223,1162
Apple Cider 7.jpg,183,275,Apple Cider,46,22,151,212,1163
Apple Cider 8.jpg,280,180,Apple Cider,60,20,215,168,1164
Apple Cider 9.jpg,239,211,Apple Cider,124,14,226,202,1165
Apple Juice 1.jpg,474,474,Apple Juice,129,147,246,415,1166
Apple Juice 10.jpg,474,316,Apple Juice,161,16,285,286,1167
Apple Juice 11.jpg,474,474,Apple Juice,142,32,332,433,1168
Apple Juice 12.jpg,474,474,Apple Juice,157,87,329,441,1169
Apple Juice 13.jpg,474,497,Apple Juice,176,175,304,430,1170
Apple Juice 15.jpg,474,474,Apple Juice,134,59,335,462,1171
Apple Juice 16.jpg,474,474,Apple Juice,120,85,340,453,1172
Apple Juice 17.jpg,474,474,Apple Juice,130,112,338,456,1173
Apple Juice 18.jpg,474,474,Apple Juice,20,93,235,337,1174
Apple Juice 19.jpg,474,474,Apple Juice,128,104,349,438,1175
Apple Juice 22.jpg,474,474,Apple Juice,130,125,344,466,1176
Apple Juice 24.jpg,474,474,Apple Juice,138,122,345,457,1177
Apple Juice 25.jpg,474,474,Apple Juice,126,103,343,454,1178
Apple Juice 26.jpg,474,474,Apple Juice,128,112,346,469,1179
Apple Juice 28.jpg,474,474,Apple Juice,146,150,279,448,1180
Apple Juice 29.jpg,474,711,Apple Juice,141,140,352,601,1181
Apple Juice 3.jpg,474,474,Apple Juice,211,33,441,431,1182
Apple Juice 30.jpg,474,266,Apple Juice,216,4,348,211,1183
Apple Juice 31.jpg,200,300,Apple Juice,73,46,147,245,1184
Apple Juice 33.jpg,474,717,Apple Juice,149,112,402,661,1185
Apple Juice 34.jpg,474,474,Apple Juice,136,43,341,471,1186
Apple Juice 36.jpg,474,474,Apple Juice,138,72,331,447,1187
Apple Juice 37.jpg,474,474,Apple Juice,41,73,229,451,1188
Apple Juice 39.jpg,474,474,Apple Juice,20,105,241,374,1189
Apple Juice 4.jpg,474,474,Apple Juice,12,110,471,448,1190
Apple Juice 40.jpg,474,474,Apple Juice,35,97,445,371,1191
Apple Juice 41.jpg,474,474,Apple Juice,133,119,346,455,1192
Apple Juice 42.jpg,474,474,Apple Juice,131,66,346,460,1193
Apple Juice 43.jpg,474,474,Apple Juice,45,81,232,438,1194
Apple Juice 44.jpg,474,812,Apple Juice,61,90,408,769,1195
Apple Juice 45.jpg,474,474,Apple Juice,153,76,315,460,1196
Apple Juice 46.jpg,474,474,Apple Juice,41,130,441,336,1197
Apple Juice 47.jpg,474,485,Apple Juice,247,120,398,411,1198
Apple Juice 5.jpg,474,474,Apple Juice,140,79,339,435,1199
Apple Juice 7.jpg,474,474,Apple Juice,340,158,446,333,1200
Apple Juice 8.jpg,474,474,Apple Juice,155,86,321,450,1201
Apple Juice 9.jpg,474,379,Apple Juice,160,107,324,354,1202
Apple Pie 10.jpg,512,384,Apple Pie,69,23,455,374,1203
Apple Pie 11.jpg,512,342,Apple Pie,11,66,432,338,1204
Apple Pie 12.jpg,384,512,Apple Pie,13,97,369,419,1205
Apple Pie 13.jpg,382,512,Apple Pie,1,59,340,390,1206
Apple Pie 14.jpg,512,382,Apple Pie,87,61,399,304,1207
Apple Pie 15.jpg,384,512,Apple Pie,1,56,384,512,1208
Apple Pie 16.jpg,512,358,Apple Pie,20,46,512,327,1209
Apple Pie 17.jpg,512,384,Apple Pie,96,79,403,298,1210
Apple Pie 18.jpg,512,384,Apple Pie,28,62,496,374,1211
Apple Pie 19.jpg,512,512,Apple Pie,75,95,434,461,1212
Apple Pie 2.jpg,512,384,Apple Pie,29,1,498,354,1213
Apple Pie 20.jpg,512,384,Apple Pie,119,52,484,346,1214
Apple Pie 22.jpg,512,326,Apple Pie,74,72,279,278,1215
Apple Pie 23.jpg,384,512,Apple Pie,5,98,384,458,1216
Apple Pie 24.jpg,512,384,Apple Pie,2,1,510,364,1217
Apple Pie 25.jpg,512,384,Apple Pie,2,50,512,365,1218
Apple Pie 28.jpg,512,384,Apple Pie,255,33,475,316,1219
Apple Pie 29.jpg,512,512,Apple Pie,37,126,461,471,1220
Apple Pie 3.jpg,512,384,Apple Pie,266,19,508,232,1221
Apple Pie 31.jpg,382,512,Apple Pie,1,118,382,422,1222
Apple Pie 32.jpg,382,512,Apple Pie,135,101,315,449,1223
Apple Pie 33.jpg,512,384,Apple Pie,131,37,448,290,1224
Apple Pie 34.jpg,384,512,Apple Pie,56,137,338,398,1225
Apple Pie 36.jpg,512,384,Apple Pie,55,27,459,294,1226
Apple Pie 37.jpg,512,382,Apple Pie,152,65,433,233,1227
Apple Pie 38.jpg,382,512,Apple Pie,3,85,365,407,1228
Apple Pie 39.jpg,512,382,Apple Pie,83,56,262,317,1229
Apple Pie 4.jpg,382,512,Apple Pie,24,78,344,380,1230
Apple Pie 40.jpg,512,384,Apple Pie,107,1,398,379,1231
Apple Pie 42.jpg,512,289,Apple Pie,19,7,494,247,1232
Apple Pie 44.jpg,382,512,Apple Pie,15,172,332,438,1233
Apple Pie 45.jpg,512,384,Apple Pie,32,18,424,383,1234
Apple Pie 46.jpg,382,512,Apple Pie,95,144,295,329,1235
Apple Pie 47.jpg,512,382,Apple Pie,136,91,379,315,1236
Apple Pie 48.jpg,341,512,Apple Pie,2,160,276,403,1237
Apple Pie 49.jpg,512,384,Apple Pie,2,13,298,368,1238
Apple Pie 5.jpg,512,459,Apple Pie,8,54,469,402,1239
Apple Pie 50.jpg,512,384,Apple Pie,59,138,387,345,1240
Apple Pie 51.jpg,512,382,Apple Pie,82,47,462,242,1241
Apple Pie 52.jpg,512,384,Apple Pie,13,1,485,246,1242
Apple Pie 53.jpg,384,512,Apple Pie,31,112,384,402,1243
Apple Pie 54.jpg,512,382,Apple Pie,2,27,511,350,1244
Apple Pie 55.jpg,512,512,Apple Pie,1,1,500,438,1245
Apple Pie 56.jpg,512,384,Apple Pie,166,81,403,335,1246
Apple Pie 57.jpg,512,512,Apple Pie,4,6,512,512,1247
Apple Pie 58.jpg,384,512,Apple Pie,60,284,223,437,1248
Apple Pie 6.jpg,512,384,Apple Pie,29,14,500,374,1249
Apple Pie 60.jpg,512,382,Apple Pie,212,98,492,296,1250
Apple Pie 61.jpg,384,512,Apple Pie,2,107,384,432,1251
Apple Pie 63.jpg,512,384,Apple Pie,47,3,486,383,1252
Apple Pie 64.jpg,512,512,Apple Pie,9,52,512,467,1253
Apple Pie 65.jpg,512,340,Apple Pie,11,33,446,291,1254
Apple Pie 66.jpg,512,384,Apple Pie,100,122,301,300,1255
Apple Pie 67.jpg,384,512,Apple Pie,1,134,380,456,1256
Apple Pie 69.jpg,512,384,Apple Pie,133,65,397,248,1257
Apple Pie 71.jpg,512,384,Apple Pie,67,41,512,267,1258
Apple Pie 73.jpg,512,512,Apple Pie,28,92,468,408,1259
Apple Pie 74.jpg,512,341,Apple Pie,32,11,504,323,1260
Apple Pie 75.jpg,384,512,Apple Pie,1,128,327,372,1261
Apple Pie 77.jpg,512,384,Apple Pie,183,138,439,318,1262
Apple Pie 78.jpg,382,512,Apple Pie,30,30,366,394,1263
Apple Pie 80.jpg,512,384,Apple Pie,61,22,442,303,1264
Apple Pie 81.jpg,512,394,Apple Pie,138,139,381,303,1265
Apple Pie 82.jpg,384,512,Apple Pie,6,147,384,429,1266
Apple Pie 83.jpg,384,512,Apple Pie,55,145,341,385,1267
Apple Pie 9.jpg,382,512,Apple Pie,2,123,382,512,1268
Apricot 1.jpg,474,346,Apricot,203,48,464,327,1269
Apricot 10.jpg,474,474,Apricot,83,135,216,282,1270
Apricot 11.jpg,474,316,Apricot,85,141,179,234,1271
Apricot 12.jpg,474,553,Apricot,170,161,402,406,1272
Apricot 14.jpg,474,509,Apricot,79,158,265,362,1273
Apricot 15.jpg,474,474,Apricot,66,193,213,335,1274
Apricot 18.jpg,474,442,Apricot,151,132,469,436,1275
Apricot 2.jpg,474,711,Apricot,106,274,298,487,1276
Apricot 20.jpg,474,474,Apricot,111,250,238,385,1277
Apricot 21.jpg,474,474,Apricot,62,100,413,385,1278
Apricot 22.jpg,474,355,Apricot,248,125,407,287,1279
Apricot 23.jpg,474,317,Apricot,157,75,299,239,1280
Apricot 24.jpg,474,474,Apricot,243,98,324,178,1281
Apricot 25.jpg,300,214,Apricot,45,70,176,183,1282
Apricot 27.jpg,474,355,Apricot,80,122,176,215,1283
Apricot 28.jpg,474,315,Apricot,272,33,431,156,1284
Apricot 3.jpg,474,474,Apricot,101,117,273,284,1285
Apricot 30.jpg,474,632,Apricot,106,132,201,230,1286
Apricot 31.jpg,474,242,Apricot,241,23,364,134,1287
Apricot 32.jpg,474,474,Apricot,117,152,450,413,1288
Apricot 34.jpg,474,474,Apricot,236,150,462,349,1289
Apricot 35.jpg,474,601,Apricot,248,272,440,454,1290
Apricot 36.jpg,474,355,Apricot,128,164,328,348,1291
Apricot 37.jpg,474,424,Apricot,115,148,416,398,1292
Apricot 38.jpg,474,474,Apricot,80,181,243,354,1293
Apricot 39.jpg,474,316,Apricot,199,34,277,109,1294
Apricot 4.jpg,474,355,Apricot,148,69,269,182,1295
Apricot 42.jpg,474,713,Apricot,100,377,203,480,1296
Apricot 43.jpg,474,316,Apricot,240,47,337,151,1297
Apricot 44.jpg,474,355,Apricot,17,123,251,332,1298
Apricot 45.jpg,474,355,Apricot,75,100,191,237,1299
Apricot 46.jpg,474,454,Apricot,37,180,198,329,1300
Apricot 48.jpg,474,362,Apricot,46,111,408,302,1301
Apricot 49.jpg,474,474,Apricot,174,117,290,239,1302
Apricot 5.jpg,474,314,Apricot,108,72,252,187,1303
Apricot 50.jpg,474,710,Apricot,72,281,254,492,1304
Apricot 51.jpg,474,632,Apricot,256,238,398,375,1305
Apricot 52.jpg,474,474,Apricot,212,41,409,244,1306
Apricot 53.jpg,474,318,Apricot,154,104,220,178,1307
Apricot 54.jpg,474,474,Apricot,56,244,204,398,1308
Apricot 57.jpg,474,342,Apricot,251,103,387,233,1309
Apricot 6.jpg,474,460,Apricot,8,255,284,451,1310
Apricot 7.jpg,474,342,Apricot,197,108,422,306,1311
Apricot 8.jpg,474,474,Apricot,8,43,287,307,1312
Apricot 9.jpg,474,376,Apricot,188,61,434,297,1313
Arbi Roast 1.jpg,1280,720,Arbi Roast,1,3,1244,720,1314
Arbi Roast 12.jpg,1280,720,Arbi Roast,1,3,1280,720,1315
Arbi Roast 13.jpg,1280,720,Arbi Roast,65,6,1226,720,1316
Arbi Roast 14.jpg,1280,720,Arbi Roast,68,3,1209,720,1317
Arbi Roast 15.jpg,1280,720,Arbi Roast,182,5,1059,716,1318
Arbi Roast 16.jpg,1280,720,Arbi Roast,1,5,1225,720,1319
Arbi Roast 18.jpg,1280,720,Arbi Roast,1,4,1273,720,1320
Arbi Roast 19.jpg,1280,720,Arbi Roast,1,4,1280,720,1321
Arbi Roast 2.jpg,1280,720,Arbi Roast,1,1,1025,651,1322
Arbi Roast 20.jpg,1280,720,Arbi Roast,1,8,1280,720,1323
Arbi Roast 21.jpg,1280,720,Arbi Roast,1,3,1248,720,1324
Arbi Roast 22.jpg,1280,720,Arbi Roast,3,1,1252,720,1325
Arbi Roast 23.jpg,1280,720,Arbi Roast,1,4,1280,720,1326
Arbi Roast 24.jpg,1280,720,Arbi Roast,1,10,1280,720,1327
Arbi Roast 25.jpg,1280,720,Arbi Roast,1,1,1280,720,1328
Arbi Roast 27.jpg,1280,720,Arbi Roast,1,1,1280,720,1329
Arbi Roast 28.jpg,1280,720,Arbi Roast,3,3,1249,720,1330
Arbi Roast 29.jpg,1280,720,Arbi Roast,1,3,1280,720,1331
Arbi Roast 3.jpg,1280,720,Arbi Roast,51,4,1151,720,1332
Arbi Roast 30.jpg,1280,720,Arbi Roast,70,3,1280,720,1333
Arbi Roast 31.jpg,1280,720,Arbi Roast,151,3,1279,720,1334
Arbi Roast 32.jpg,1280,720,Arbi Roast,148,1,1280,720,1335
Arbi Roast 33.jpg,1280,720,Arbi Roast,64,1,1280,720,1336
Arbi Roast 34.jpg,1280,720,Arbi Roast,56,3,1144,720,1337
Arbi Roast 36.jpg,1280,720,Arbi Roast,1,3,1280,720,1338
Arbi Roast 37.jpg,1280,720,Arbi Roast,183,3,1055,720,1339
Arbi Roast 4.jpg,1280,720,Arbi Roast,1,4,1234,720,1340
Arbi Roast 41.jpg,1280,720,Arbi Roast,387,70,1109,720,1341
Arbi Roast 42.jpg,1280,720,Arbi Roast,72,1,1210,720,1342
Arbi Roast 43.jpg,1280,720,Arbi Roast,79,1,1213,720,1343
Arbi Roast 44.jpg,1280,720,Arbi Roast,77,3,1208,720,1344
Arbi Roast 45.jpg,1280,720,Arbi Roast,226,17,944,473,1345
Arbi Roast 46.jpg,1280,720,Arbi Roast,77,1,1210,720,1346
Arbi Roast 47.jpg,1280,720,Arbi Roast,73,1,1212,720,1347
Arbi Roast 48.jpg,1280,720,Arbi Roast,1,1,1275,720,1348
Arbi Roast 5.jpg,1280,720,Arbi Roast,1,1,1280,720,1349
Arbi Roast 50.jpg,1280,720,Arbi Roast,3,1,1280,720,1350
Arbi Roast 51.jpg,1280,720,Arbi Roast,1,10,1090,720,1351
Arbi Roast 52.jpg,1280,720,Arbi Roast,1,4,1280,720,1352
Arbi Roast 56.jpg,1280,720,Arbi Roast,283,14,1012,479,1353
Arbi Roast 57.jpg,1280,720,Arbi Roast,162,5,1165,720,1354
Arbi Roast 58.jpg,1280,720,Arbi Roast,197,12,1139,720,1355
Arbi Roast 59.jpg,1280,720,Arbi Roast,229,44,1116,720,1356
Arbi Roast 6.jpg,1280,720,Arbi Roast,17,47,1280,720,1357
Arbi Roast 60.jpg,1280,720,Arbi Roast,72,4,910,666,1358
Arbi Roast 61.jpg,1280,720,Arbi Roast,142,44,1057,677,1359
Arbi Roast 62.jpg,1280,720,Arbi Roast,1,3,1201,720,1360
Arbi Roast 63.jpg,1280,720,Arbi Roast,1,1,1278,720,1361
Arbi Roast 66.jpg,1280,720,Arbi Roast,55,4,1070,720,1362
Arbi Roast 67.jpg,1280,720,Arbi Roast,1,1,1039,652,1363
Arbi Roast 7.jpg,1280,720,Arbi Roast,299,47,1095,675,1364
Arbi Roast 8.jpg,1280,720,Arbi Roast,272,42,1070,675,1365
Arbi Roast 9.jpg,1280,720,Arbi Roast,248,1,1135,675,1366
Asparagus 10.jpg,474,355,Asparagus,39,41,177,312,1367
Asparagus 12.jpg,474,316,Asparagus,39,13,425,290,1368
Asparagus 13.jpg,474,708,Asparagus,89,90,435,673,1369
Asparagus 14.jpg,474,316,Asparagus,129,44,331,293,1370
Asparagus 15.jpg,474,474,Asparagus,119,140,461,440,1371
Asparagus 16.jpg,474,474,Asparagus,57,143,256,462,1372
Asparagus 17.jpg,474,474,Asparagus,1,35,347,316,1373
Asparagus 2.jpg,474,474,Asparagus,57,54,456,421,1374
Asparagus 20.jpg,474,355,Asparagus,99,14,457,214,1375
Asparagus 21.jpg,474,266,Asparagus,167,34,468,193,1376
Asparagus 22.jpg,474,304,Asparagus,65,98,295,295,1377
Asparagus 24.jpg,474,315,Asparagus,79,34,415,218,1378
Asparagus 25.jpg,474,316,Asparagus,69,42,448,275,1379
Asparagus 26.jpg,474,355,Asparagus,72,34,404,279,1380
Asparagus 28.jpg,474,570,Asparagus,58,144,416,552,1381
Asparagus 29.jpg,474,307,Asparagus,49,77,451,238,1382
Asparagus 30.jpg,474,710,Asparagus,79,61,473,593,1383
Asparagus 31.jpg,474,316,Asparagus,54,44,371,279,1384
Asparagus 34.jpg,474,314,Asparagus,5,25,464,274,1385
Asparagus 35.jpg,474,592,Asparagus,62,149,372,512,1386
Asparagus 36.jpg,474,307,Asparagus,58,2,384,291,1387
Asparagus 37.jpg,474,474,Asparagus,38,153,412,451,1388
Asparagus 38.jpg,474,338,Asparagus,110,65,200,277,1389
Asparagus 40.jpg,474,710,Asparagus,109,28,398,668,1390
Asparagus 41.jpg,474,474,Asparagus,169,17,311,457,1391
Asparagus 43.jpg,474,316,Asparagus,85,29,445,257,1392
Asparagus 45.jpg,474,474,Asparagus,30,83,382,429,1393
Asparagus 46.jpg,474,615,Asparagus,28,3,466,538,1394
Asparagus 47.jpg,474,474,Asparagus,50,36,154,390,1395
Asparagus 48.jpg,474,317,Asparagus,8,14,463,300,1396
Asparagus 49.jpg,474,315,Asparagus,106,114,425,283,1397
Asparagus 5.jpg,474,315,Asparagus,68,87,457,298,1398
Asparagus 50.jpg,474,474,Asparagus,95,14,361,443,1399
Asparagus 51.jpg,474,316,Asparagus,44,49,150,273,1400
Asparagus 52.jpg,474,316,Asparagus,50,16,337,285,1401
Asparagus 53.jpg,474,474,Asparagus,113,42,411,444,1402
Asparagus 54.jpg,474,315,Asparagus,82,33,464,278,1403
Asparagus 55.jpg,474,316,Asparagus,51,28,447,296,1404
Asparagus 56.jpg,474,264,Asparagus,27,1,469,255,1405
Asparagus 58.jpg,474,807,Asparagus,25,68,463,655,1406
Asparagus 6.jpg,474,339,Asparagus,60,19,439,316,1407
Asparagus 8.jpg,474,713,Asparagus,114,30,347,660,1408
